,Group,Value
0,DMSO,1.0298995825442587
1,DMSO,0.8025412104855852
2,DMSO,0.8458107411488937
3,DMSO,1.577289993807559
4,DMSO,1.344800626384
5,DMSO,1.3886690764080951
6,DMSO,0.5674847452707471
7,DMSO,0.6824996302952021
8,DMSO,0.7610043936556579
9,PFOA 0.01mg/L,0.8870491478934339
10,PFOA 0.01mg/L,0.5342336718072594
11,PFOA 0.01mg/L,1.0074198972775363
12,PFOA 0.01mg/L,2.5758996365405924
13,PFOA 0.01mg/L,1.8897307891716812
14,PFOA 0.01mg/L,2.08406010158536
15,PFOA 0.01mg/L,1.342894394735497
16,PFOA 0.01mg/L,2.8998591058937184
17,PFOA 0.01mg/L,1.2620386308613727
18,PFOA 1mg/L,1.6254566205451126
19,PFOA 1mg/L,2.177655924471005
20,PFOA 1mg/L,1.76874174584864
21,PFOA 1mg/L,1.3107041142670286
22,PFOA 1mg/L,2.012788227665015
23,PFOA 1mg/L,1.7315207882292667
24,PFOA 1mg/L,0.5417569341451783
25,PFOA 1mg/L,0.5680420767253922
26,PFOA 1mg/L,0.7991894458842768
