,Group,Value
0,DMSO,0.733999328129407
1,DMSO,1.4071351281074003
2,DMSO,0.8609409639309732
3,DMSO,1.8276645290838682
4,DMSO,2.003020750105262
5,DMSO,1.2532676273019117
6,DMSO,0.23934245289020553
7,DMSO,0.38033002752915024
8,DMSO,0.29429919292182216
9,PFOA 0.01mg/L,3.862579880805393
10,PFOA 0.01mg/L,3.686083917171997
11,PFOA 0.01mg/L,3.9410204549132204
12,PFOA 0.01mg/L,2.1779118838548364
13,PFOA 0.01mg/L,1.7901877926801175
14,PFOA 0.01mg/L,2.3668237571011552
15,PFOA 0.01mg/L,4.369458700968885
16,PFOA 0.01mg/L,2.1089519460402473
17,PFOA 0.01mg/L,1.1294735543832806
18,PFOA 1mg/L,1.918048586583128
19,PFOA 1mg/L,2.54173785484403
20,PFOA 1mg/L,2.111905251430299
21,PFOA 1mg/L,1.189249061225425
22,PFOA 1mg/L,1.252813788548682
23,PFOA 1mg/L,1.006572187758575
24,PFOA 1mg/L,0.40175319412243266
25,PFOA 1mg/L,0.3292906109045412
26,PFOA 1mg/L,0.5919426435742772
