File Name,admin_2025-12-10 14-24-55_782BR20773.pcrd,,,,,
Created By User,admin,,,,,
Notes,,,,,,
ID,,,,,,
Run Started,12/10/2025 06:25:06 UTC,,,,,
Run Ended,12/10/2025 07:36:57 UTC,,,,,
Sample Vol,20,,,,,
Lid Temp,105,,,,,
Protocol File Name,PrimePCR.prcl,,,,,
Plate Setup File Name,Default_PrimePCR_96_runfile.pltd,,,,,
Base Serial Number,782BR20773,,,,,
Optical Head Serial Number,782BR20773,,,,,
CFX Maestro Version,5.3.022.1030. ,,,,,
,,,,,,
Well group,All Wells,,,,,
Amplification step,3,,,,,
Melt step,6,,,,,
,,,,,,
,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
F02,SYBR,CG12896,Unkn-04,DMSO#2,21.650663325989,NaN
F03,SYBR,CG12896,Unkn-06,DMSO#3,21.2187029729029,NaN
F04,SYBR,CG12896,Unkn-08,PFOA001#1,21.6743579107349,NaN
F05,SYBR,CG12896,Unkn-10,PFOA001#2,19.191672735625,NaN
F06,SYBR,CG12896,Unkn-12,PFOA001#3,20.2778329008461,NaN
F07,SYBR,CG12896,Unkn-14,PFOA1#1,19.5855007242523,NaN
F08,SYBR,CG12896,Unkn-16,PFOA1#2,20.0059011938553,NaN
F09,SYBR,CG12896,Unkn-18,PFOA1#3,21.253223532812,NaN
F10,SYBR,CG31636,Unkn-24,PFOA001#3,20.9124864390954,NaN
F11,SYBR,CG31636,Unkn-24,PFOA001#3,21.7165946124131,NaN
F12,SYBR,CG31636,Unkn-24,PFOA001#3,22.3156943226954,NaN
G10,SYBR,CG31636,Unkn-25,PFOA1#1,21.2221616149571,NaN
G11,SYBR,CG31636,Unkn-25,PFOA1#1,21.0370586925525,NaN
G12,SYBR,CG31636,Unkn-25,PFOA1#1,21.2074348704015,NaN
H07,SYBR,CG31636,Unkn-26,PFOA1#3,24.1221593927874,NaN
H08,SYBR,CG31636,Unkn-26,PFOA1#3,24.0145556684733,NaN
H09,SYBR,CG31636,Unkn-26,PFOA1#3,23.5640595132872,NaN
H10,SYBR,CG31636,Unkn-27,PFOA1#2,22.3274206740293,NaN
H11,SYBR,CG31636,Unkn-27,PFOA1#2,22.0185395983664,NaN
H12,SYBR,CG31636,Unkn-27,PFOA1#2,22.666246103077,NaN
